Classifier,Feature,Accuracy,Precision,Recall,F1
RidgeClassifier,tfidf,0.6877323420074349,0.6929359115112305,0.6877323420074349,0.6860811917720573
SVC,tfidf,0.6680828465215082,0.6841671935623245,0.6680828465215082,0.6698685820644275
RandomForestClassifier,tfidf,0.6083377588953797,0.6104225974001612,0.6083377588953797,0.6027341903172521
MultinomialNB,tfidf,0.6764471587891662,0.7115096548001336,0.6764471587891662,0.662854220633898
ComplementNB,tfidf,0.7026022304832714,0.7084243679990193,0.7026022304832714,0.6973181237575543
LogisticRegression,tfidf,0.6882634094530006,0.6971097104696213,0.6882634094530006,0.6858413402460425
RidgeClassifier,tf,0.6798990971853426,0.6845266865199869,0.6798990971853426,0.6775812999572464
SVC,tf,0.6301115241635687,0.6477297317318621,0.6301115241635687,0.6321362213891136
RandomForestClassifier,tf,0.6074083908656399,0.6090251660866693,0.6074083908656399,0.6017549930413577
MultinomialNB,tf,0.6433882103027084,0.704153048342249,0.6433882103027084,0.6288771395123027
ComplementNB,tf,0.7019383961763144,0.7099973098882181,0.7019383961763144,0.6959463757124528
LogisticRegression,tf,0.6509559214020181,0.6594802152930946,0.6509559214020181,0.6488679928572318
RidgeClassifier,count,0.4430430164630908,0.4571458775065227,0.4430430164630908,0.4432303215602114
SVC,count,0.49336165693043016,0.5151222216379813,0.49336165693043016,0.49559624517817635
RandomForestClassifier,count,0.6018321826872013,0.6036691237035561,0.6018321826872013,0.5949633670987926
MultinomialNB,count,0.6435209771640998,0.6370173241959579,0.6435209771640998,0.6256191904293067
ComplementNB,count,0.6560010621348912,0.6617808852243068,0.6560010621348912,0.639629835388751
LogisticRegression,count,0.6198884758364313,0.6285804563974375,0.6198884758364313,0.620203045660821
